id,abstract
47837,用心 暖化 你 百度 云 下载 鱼 的 记忆 只有 七秒 而 我 却 爱 了 你 七年 乔初 浅 乔初 浅 从 没有 想到 在 回国 的 第一天 她 会 遇到 她 的 前夫 沈 北川 外界 传言 娱乐圈 大亨 沈 北川 矜贵 冷酷 不近人情 不 碰 女色 却 无人 知道 他 结过婚 还 离过婚 甚至 还有 个 儿子 谁 的 他 冰冷 开口 我 我 自己 生 的 哦 不如 请乔 秘书 给 我 示范 一下 如何 自交 他 一字一顿 步步 趋近 将 她 逼 的 无路 可退 乔景言 小朋友 不依 了 一口 咬住 他 的 大腿 放开 我 妈咪 我 是 妈咪 和 陆祁 叔叔 生 的 和 你 无关 男人 的 眼神 骤然 阴鸷 陆祁 叔叔 
47838,关于 阎王 关于  高干  阎王 入 ; gt ; 本文 将 于 12 月 30 日入 V 周一 届时 将 更新 三章 谢谢 支持 ; gt ; 三代 长得帅 性格 不骄不躁 脾气 偶尔 略 爆 插班生 纪悄 孤僻 症 见光死 同学 眼中 的 活死人 老师 眼中 的 优等生 说 的 是 外号 阎王 的 高富帅 看上 了 班里 新来 的 白面书生 于是 强取豪夺 之 本 以为 那人 最 多 是 一个 阴郁 虚弱 的 白无常 却 不知 人家 才 是 冷面 冷心 的 活阎王 一句 话 文案 阎王 遇上 活阎王 其实 就是 一篇 流水账 的 校园 小 故事 属性 对外 霸气 侧漏 对 受 狗腿 攻 ; gt ; 1 到 2 日 一 更 热 金牌 坑品表 催文哟 
47840,重生 回来 的 蓝天 决定 踹 掉 她 前世 的 渣 夫带 着 奶奶 叔叔 婶婶 过 她 的 幸福 小日子 没事 的 时候 种种 田修 修仙 等 奶奶 他们 寿终正寝 后 选个 深 山野 林 避世 修炼 飞升 谁知 前世 的 渣夫 洗心革面 重生 做人 死 扒 着 她 不放 蓝天 很 苦恼 很 困惑 一向 冷酷 不近人情 的 人 突然 耍起 无赖 来 怎么办 在线 等 急 
47841,一句 话 简介 这是 一个 女扮男装 的 女主 被 送入 京城 为质 后 被 暴君 强取豪夺 了 的 故事 二贱 蠢萌 质子 X 无 节操 男神 暴君 
47842,卫安 这 一世 都 好似 活在 一场 梦里 这个 梦 平静 得 如同 一汪 死水 直到 有 一天 这 汪 湖水 被 一颗 叫做 死亡 的 石子 给 打破 了 从此 死水 成 了 吞噬 人 的 海 她 的 人生 在 最后 时期 终于 波澜壮阔 石破天惊 死亡 和 永别 来 的 猝不及防 又 无法挽回 生 离 尚有 可会 之期 死别 却 再 无 重逢 之时 当 她 明白 这个 道理 的 时候 她 已经 没 了 选择 的 机会 可一 睁开眼睛 又 好像 做 了 一个 梦 命运 的 齿轮 才 刚刚开始 转动 一 念 前程 美 似锦 一 念 高墙 锁 芳华 从此 她 才 是 那 只 掌控 自己 命运 的 遮 天大 手是 仍旧 活 的 浑浑噩噩 如同 台上 木偶 被 人 摆布 还是 当 摆布 木偶 的 人 这 是 个 问题 
47843,作者 百里 玺 题材 仙凡 幻想 简介 此生 尘缘 早已 尽 我 本 尘世 一仙凡 起于 微末 傲 红尘 修 得 蜉蝣 忘 江湖 
47844,简介 现代 她 是 一名 白领 古代 她 是 绣艺 高超 的 绣 女 奈何 一朝 回乡 却 遇到 一个 反派 里 的 极品 恶毒 老娘 这 日子 该 怎么 过 呢 且 看 现代人 如何 用 古代 技艺 发家致富 抱拥 相爷 大 男神 
47845,在 古代 禁毁 小说 中 真正 属于 淫书 今天 仍 被 查禁 的 应属 少数 而 大多数 作品 不乏 古代 文学遗产 中 的 精华 在 思想 和 艺术 上 有 一定 价值 值得 我们 来 研究 正是 由于 古代 禁毁 小说 的 特殊 地位 和 价值 我们 才 编选 这套 中国 十大 禁毁 小说 文库 书中 的 小说 有 的 反映 当时 的 进步 思想 有 的 表现 重要 历史 事件 有 的 暴露 封建社会 的 罪恶 有 的 在 艺术 技巧 上 可供 借鉴 都 可供 读者 学习 和 讨论 因此 这 套书 不仅 给 读者 以 过去 雪夜 闭门 读 禁书 的 神秘感 更 使 人 领略到 一些 被 历史 隐没 的 古代 小说 佳作 的 全貌 
47846,云 阅读 玄幻 大赛 高手 奖 作品 十年 前 的 绝世 天才 被 废 十年 后 一块 神秘 的 玉石 因缘 出现 少年 一朝 觉醒 得 无上 传承 从此 鱼跃龙门 拳碎 虚空 以无上 神威 打入 那 神秘 的 远古 世界 踏上 横扫 九天 十地 的 逆袭 之路 读者群 217878558 
47847,混沌 那么 大 我 想 去 看看 混沌 之外 是 什么 洪荒 天道 是 什么 混沌 大道 是 什么 不 能够 威压 诸天 万界 说 什么 洪荒 至尊 一个 穿越 少年 的 无限 洪荒 之路 ps 本书 偏 设定 党 和 嘴 炮流 洪荒 流 ＋ 无限 流 主角 配角 反派 龙套 智商 正常 
